createdDate,name,playerClass
2015-01-13 09:56:17.424,ramp druid for kolento,Druid
2015-01-13 14:54:44.243,Josh's cheaty Priest deck,Priest
2015-01-13 15:49:46.291,frost mage,Mage
2015-01-13 16:14:55.167,Starstruck,Priest
2015-01-13 21:22:03.436,Reincarnate (Flyinkilla),Shaman
2015-01-13 22:22:49.340,Loyan's Midrange Shaman,Shaman
2015-01-13 22:51:51.947,Trystan Control Paladin,Paladin
2015-01-13 23:36:52.656,Rhythm Rogue,Rogue
2015-01-13 23:44:01.095,Weapons Rogue,Rogue
2015-01-14 00:51:09.559,iatos decklist,Mage
2015-01-14 00:59:09.372,Doing Feign,Hunter
2015-01-14 04:24:53.786,spellz,Mage
2015-01-14 09:16:39.607,Calling all Ancestors,Shaman
2015-01-14 12:26:37.687,Legendary,Warlock
2015-01-14 12:30:42.183,Big daddy control,Paladin
2015-01-14 18:00:16.100,Secrets,Paladin
2015-01-14 19:24:33.936,Weaponeer,Shaman
2015-01-14 19:50:19.022,Mana Up,Druid
2015-01-14 20:40:35.293,Devine Tempo,Rogue
2015-01-14 20:52:11.136,GvG Backspace Rogue with a Twist.,Rogue
2015-01-14 21:03:23.834,Iwin4Alex,Priest
2015-01-15 00:07:59.252,Death Mage,Mage
2015-01-15 00:33:58.361,Priest HEAVY Control,Priest
2015-01-15 02:10:01.550,Test Druid,Druid
2015-01-15 02:21:43.949,The Aggroiest,Rogue
2015-01-15 02:59:40.486,burning man,Shaman
2015-01-15 03:07:46.192,mill'emall,Druid
2015-01-15 04:01:13.517,D^T's Ramp,Druid
2015-01-15 08:20:22.033,Big Druid,Druid
2015-01-15 13:43:34.548,Curve,Mage
2015-01-15 15:41:12.099,Foe Reaper Combo,Druid
2015-01-15 16:06:39.203,Laughing Rogue,Rogue
2015-01-15 19:09:27.662,Test Lock,Warlock
2015-01-15 19:56:41.782,LockBot,Warlock
2015-01-15 19:57:09.342,WindFury,Shaman
2015-01-15 20:56:17.636,Midrange Druid,Druid
2015-01-15 21:45:58.612,Ancestor's Call Shaman,Shaman
2015-01-16 00:58:50.100,one nourish,Druid
2015-01-16 01:21:43.512,Stealth Druid,Druid
2015-01-16 02:24:05.262,Tinker's Miracle,Rogue
2015-01-16 02:32:22.007,Strifecro Demonlock Jan2015,Warlock
2015-01-16 02:43:07.763,combo,Shaman
2015-01-16 02:45:19.780,Sniper Warlock,Warlock
2015-01-16 02:47:53.100,test 2,Warlock
2015-01-16 02:51:19.982,hobgob this,Priest
2015-01-16 02:55:35.415,i like,Rogue
2015-01-16 09:33:55.812,control war,Warrior
